Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Melee strength,Ranged strength,Magic damage,Prayer,Special accuracy,Special damage 1,Special damage 2,Special defence roll,Spell max hit,Attack speed,Combat options,Mining level req,Two handed
Leaf-bladed battleaxe,-2,72,72,,,,,,,-1,92,,,,,,,,,5,8,,
Maple blackjack,,,,,,,,,,,20,,,,,,,,,4,9,,
Maple blackjack (o),,,24,,,,,,,,20,,,,,,,,,4,9,,
Maple blackjack (d),,,,,,,,24,,,20,,,,,,,,,4,9,,
Obsidian dagger,16,48,,,,,,,,,39,,,,,,,,,4,4,,
Obsidian mace,-4,-4,62,,,,,,,,56,,,,,,,,,5,9,,
Obsidian maul,,,80,-4,,,,,,,85,,,,,,,,,7,9,,
Crystal pickaxe,38,-2,32,,,,1,,,,42,,,,,,,,,5,16,61,
Adamant pickaxe,17,-2,15,,,,1,,,,19,,,,,,,,,5,16,31,
Mithril pickaxe,12,-2,10,,,,1,,,,13,,,,,,,,,5,16,21,
Black pickaxe,10,-2,8,,,,1,,,,11,,,,,,,,,5,16,11,
Dragon pickaxe,38,-2,32,,,,1,,,,42,,,,,,,,,5,16,61,
Steel pickaxe,8,-2,6,,,,1,,,,9,,,,,,,,,5,16,6,
Iron pickaxe,5,-2,3,,,,1,,,,7,,,,,,,,,5,16,1,
Bronze pickaxe,4,-2,2,,,,1,,,,5,,,,,,,,,5,16,1,
Rune pickaxe,26,-2,24,,,,1,,,,29,,,,,,,,,5,16,41,
Obsidian sword,47,38,-2,,,2,3,,,,49,,,,,,,,,4,5,,
Rune 2h sword,,69,50,-4,,,,,,-1,70,,,,,,,,,7,10,,TRUE
Rune battleaxe,-2,48,43,,,,,,,-1,64,,,,,,,,,6,8,,
Rune claws,26,38,-4,,,10,19,5,,,39,,,,0.15,0.15,,Slash,,4,6,,
Rune dagger,25,12,-4,1,,,,,1,,24,,,,,,,,,4,4,,
Rune halberd,48,67,0,-4,0,-1,4,5,,,68,,,,,,,,,7,11,,TRUE
Rune hasta,36,36,36,,,-10,-10,-9,,-10,42,,,,,,,,,5,12,,
Rune longsword,38,47,-2,,,,3,2,,,49,,,,,,,,,5,6,,
Rune mace,20,-2,39,,,,,,,,36,,,4,,,,,,5,7,,
Rune scimitar,7,45,-2,,,,1,,,,44,,,,,,,,,4,6,,
Rune spear,36,36,36,,,1,1,,,,42,,,,,,,,,5,12,,TRUE
Rune sword,38,26,-2,,,,2,1,,,39,,,,,,,,,4,5,,
Rune warhammer,-4,-4,53,-4,,,,,,,48,,,,,,,,,6,9,,
Sarachnis cudgel,30,,70,,,,,,,,70,,,,,,,,,4,9,,
Saradomin's blessed sword,,100,60,,,,,,,,88,,,2,1,0.25,,Magic,,4,10,,TRUE
Saradomin godsword,,132,80,,,,,,,,132,,,8,1,0.1,,Slash,,6,10,,TRUE
Saradomin sword,,82,60,,,,,,,,82,,,2,1,0.1,,Magic,,4,10,,
Scythe of Vitur (uncharged),50,75,10,-6,,-2,6,0,0,0,50,,,,,,,,,5,8,,TRUE
Scythe of Vitur,70,110,30,-6,,-2,8,10,0,0,75,,,,,,,,,5,8,,TRUE
Slayer's staff,7,-1,25,12,,2,3,1,10,,35,,,,,,,,,4,15,,
Staff of light,55,70,,17,,,3,3,17,,72,,0.15,,,,,,,4,19,,
Statius's warhammer,-4,-4,125,,,,,,,,114,,,,,0.25,,Crush,,5,9,,
Swift blade,,,,,,,,,,,,,,,,,,,,3,5,,
Enchanted slayer's staff,7,-1,25,12,,2,3,1,10,,35,,,,,,,,,4,15,,
Red topaz machete,0,16,-2,,,,1,1,,1,10,,,,,,,,,4,6,,
Staff of the dead,55,70,,17,,,3,3,17,,72,,0.15,,,,,,,4,19,,
Torag's hammers,-4,-4,85,-4,,,,,,,72,,,,,,,,,5,9,,
Wolfbane,11,5,-4,1,,,,,1,,10,,,5,,,,,,4,4,,
Verac's flail,68,-2,82,,,,,,,,72,,,6,,,,,,5,7,,
Vesta's longsword,106,121,-2,,,1,4,3,,,118,,,,,0.2,,Stab,,5,6,,
Viggora's chainmace,53,-2,67,,,,,,,,66,,,2,,,,,,4,7,,
Zamorakian spear,85,65,65,,,13,13,12,,13,75,,,2,,,,,,4,12,,TRUE
Zamorakian hasta,85,65,65,,,13,13,12,,13,75,,,2,,,,,,4,12,,
Zamorak godsword,,132,80,,,,,,,,132,,,8,1,0.1,,Slash,,6,10,,TRUE
Adamant scimitar,6,29,-2,,,,1,,,,28,,,,,,,,,4,6,,
Mithril scimitar,5,21,-2,,,,1,,,,20,,,,,,,,,4,6,,
Black scimitar,4,19,-2,,,,1,,,,14,,,,,,,,,4,6,,
White scimitar,4,19,-2,,,,1,,,,14,,,1,,,,,,4,6,,
Steel scimitar,3,15,-2,,,,1,,,,14,,,,,,,,,4,6,,
Iron scimitar,2,10,-2,,,,1,,,,9,,,,,,,,,4,6,,
Bronze scimitar,1,7,-2,,,,1,,,,6,,,,,,,,,4,6,,
3rd age bow,,,,,80,,,,,,,,,,,,,,,4,17,,TRUE
Armadyl crossbow,,,,,100,,,,,,,,,1,1,,,ranged,,6,17,,
Black chinchompa,,,,,80,,,,,,,30,,,,,,,,4,17,,
Chinchompa,,,,,45,,,,,,,0,,,,,,,,4,17,,
Crystal bow,,,,,100,,,,,,,70,,,,,,,,5,17,,TRUE
Crystal bow (basic),,,,,72,,,,,,,42,,1,,,,,,5,17,,TRUE
Crystal bow (attuned),,,,,118,,,,,,,88,,2,,,,,,5,17,,TRUE
Crystal bow (perfected),,,,,172,,,,,,,138,,3,,,,,,5,17,,TRUE
Craw's bow,,,,,75,,,,,,,60,,,,,,,,4,17,,TRUE
Dark bow,,,,,95,,,,,,,,,,,0.5,,ranged,,8,17,,TRUE
Dart,,,,,,,,,,,,,,,,,,,,3,17,,
Dorgeshuun crossbow,,,,,42,,,,,,,,,,,,,,,5,17,,
Dragon crossbow,,,,,94,,,,,,,,,,,0.2,,ranged,,6,17,,
Dragon hunter crossbow,,,,,95,,,,,,,,,,,,,,,6,17,,
Dragon thrownaxe,,,,,36,,,,,,,47,,,0.25,,,ranged,,5,17,,
Rune crossbow,,,,,90,,,,,,,,,,,,,,,6,17,,
Hunter's crossbow,,,,,55,,,,,,,,,,,,,,,4,17,,
Adamant crossbow,,,,,78,,,,,,,,,,,,,,,6,17,,
Mithril crossbow,,,,,66,,,,,,,,,,,,,,,6,17,,
Steel crossbow,,,,,54,,,,,,,,,,,,,,,6,17,,
Iron crossbow,,,,,42,,,,,,,,,,,,,,,6,17,,
Bronze crossbow,,,,,18,,,,,,,,,,,,,,,6,17,,
Bluerite crossbow,,,,,30,,,,,,,,,,,,,,,6,17,,
Rune thrownaxe,,,,,26,,,,,,,36,,,,,,ranged,,5,17,,
Heavy ballista,,,,,125,,,,,,,15,,,0.25,0.25,,ranged,,7,17,,
Karil's crossbow,,,,,84,,,,,,,,,,,,,,,4,17,,
Knife,,,,,,,,,,,,,,,,,,,,3,17,,
Light ballista,,,,,110,,,,,,,,,,0.25,0.25,,ranged,,7,17,,TRUE
Magic compositebow,,,,,71,,,,,,,,,,,,,ranged,,5,17,,TRUE
Magic longbow,,,,,69,,,,,,,,,,,,,ranged,,6,17,,TRUE
Magic shortbow,,,,,69,,,,,,,,,,,,,ranged,,4,17,,TRUE
Magic shortbow (i),,,,,75,,,,,,,,,,,,,ranged,,4,17,,TRUE
Yew shortbow,,,,,47,,,,,,,,,,,,,,,4,17,,TRUE
Maple shortbow,,,,,29,,,,,,,,,,,,,,,4,17,,TRUE
Willow shortbow,,,,,20,,,,,,,,,,,,,,,4,17,,TRUE
Oak shortbow,,,,,14,,,,,,,,,,,,,,,4,17,,TRUE
Shortbow,,,,,8,,,,,,,,,,,,,,,4,17,,TRUE
Red chinchompa,,,,,70,,,,,,,15,,,,,,,,4,17,,
Seercull,,,,,69,,,,,,,,,,,,,ranged,,5,17,,TRUE
Toxic blowpipe,,,,,60,,,,,,,40,,,,0.5,,ranged,,3,17,,TRUE
Twisted bow,,,,,70,,,,,,,20,,4,,,,,,6,17,,TRUE
Ahrim's staff,12,-1,62,15,,3,2,5,15,,68,,0.05,,,,,,,5,15,,
Ancient staff,10,-1,40,15,,2,3,1,15,,50,,,-1,,,,,,5,15,,
Black salamander,,59,,,69,,,,,,71,49,,,,,,,,5,18,,TRUE
Crystal staff (basic),,,,84,,,,,,,,,,1,,,,,,4,20,,
Crystal staff (attuned),,,,128,,,,,,,,,,2,,,,,,4,20,,
Crystal staff (perfected),,,,184,,,,,,,,,,3,,,,,,4,20,,
Dawnbringer,,,,25,,2,3,1,15,0,,,,,,,,,,4,20,,
God staff,-1,-1,6,6,,2,3,1,6,,2,,,,,,,,,5,15,,
Iban staff (u),10,-1,40,10,,2,3,1,10,,50,,,,,,,,,5,15,,
Kodai wand,,,,28,,,3,3,20,,,,0.15,,,,,,,5,15,,
Master wand,,,,20,,,,,20,,,,,,,,,,,5,15,,
Eldritch nightmare staff,,,,16,,,,,14,,,,0.15,,0,,,magic,,5,15,,
Harmonised nightmare staff,,,,16,,,,,14,,,,0.15,,,,,,,5,15,,
Volatile nightmare staff,,,,16,,,,,14,,,,0.15,,0.5,,,magic,,5,15,,
Nightmare staff,,,,16,,,,,14,,,,0.15,,,,,,,5,15,,
Thammaron's sceptre,,,,20,,,,,20,,,,,,,,,,,4,15,,
Sanguinesti staff,,,,25,-4,2,3,1,15,0,,,,,,,,,,4,20,,
Trident of the seas,,,,15,,2,3,1,15,,,,,,,,,,,4,20,,
Trident of the swamp,,,,25,,2,3,1,15,,,,,,,,,,,4,20,,
Toxic staff of the dead,55,70,,25,,,3,3,17,,72,,0.15,,,,,,,5,19,,
3rd age wand,,,,20,,,,,20,,,,,,,,,,,5,15,,
Void knight mace,22,,41,8,,2,2,2,2,2,38,,,6,,,,,,5,15,,
Mystic smoke staff,10,-1,40,10,,2,3,1,10,,50,,,,,,,,,5,15,,
Smoke battlestaff,7,-1,28,10,,2,3,1,10,,35,,,,,,,,,5,15,,
Mystic lava staff,10,-1,40,10,,2,3,1,10,,50,,,,,,,,,5,15,,
Mystic mud staff,10,-1,40,10,,2,3,1,10,,50,,,,,,,,,5,15,,
Mystic dust staff,10,-1,40,10,,2,3,1,10,,50,,,,,,,,,5,15,,
Mystic mist staff,10,-1,40,10,,2,3,1,10,,50,,,,,,,,,5,15,,
Mystic steam staff,10,-1,40,10,,2,3,1,10,,50,,,,,,,,,5,15,,
Air battlestaff,7,-1,28,10,,2,3,1,10,,35,,,,,,,,,5,15,,
Water battlestaff,7,-1,28,10,,2,3,1,10,,35,,,,,,,,,5,15,,
Earth battlestaff,7,-1,28,10,,2,3,1,10,,35,,,,,,,,,5,15,,
Fire battlestaff,7,-1,28,10,,2,3,1,10,,35,,,,,,,,,5,15,,
